,학년,학기,낱말,빈도수,품사
291,1,1,우,14,Adverb
292,1,1,재미있게,14,Adjective
293,1,1,도,14,Noun
294,1,1,나오는,14,Verb
295,1,1,게,14,Noun
296,1,1,경험,14,Noun
297,1,1,주세요,14,Verb
298,1,1,콩,14,Noun
299,1,1,좋은,14,Adjective
300,1,1,쓴다,14,Verb
301,1,1,뒤,14,Noun
302,1,1,있게,14,Adjective
303,1,2,사냥꾼,14,Noun
304,1,1,다리,13,Noun
305,1,1,같은,13,Adjective
306,1,1,색칠,13,Noun
307,1,1,파란색,13,Noun
308,1,1,소,13,Noun
309,1,1,불러,13,Verb
310,1,1,봐,13,Verb
311,1,1,너무,13,Adverb
312,1,1,어서,13,Noun
313,1,1,원,13,Noun
314,1,1,그래,13,Adjective
315,1,1,자료,13,Noun
316,1,1,알맞게,13,Adjective
317,1,1,꼭,13,Noun
318,1,1,조금,13,Noun
319,1,1,이제,13,Noun
320,1,1,못,13,Noun
321,1,1,기억,13,Noun
322,1,2,소개,13,Noun
323,1,2,단풍,13,Noun
324,1,2,두기,13,Noun
325,1,2,실감,13,Noun
326,1,2,불,13,Noun
327,1,1,쓰는,12,Verb
328,1,1,연필,12,Noun
329,1,1,아는지,12,Verb
330,1,1,눈,12,Noun
331,1,1,으,12,Adverb
332,1,1,하나,12,Noun
333,1,1,보,12,Noun
334,1,1,돼,12,Verb
335,1,1,안녕하세요,12,Adjective
336,1,1,많이,12,Adverb
337,1,1,가는,12,Verb
338,1,1,말씀,12,Noun
339,1,1,일까,12,Verb
340,1,1,좀,12,Noun
341,1,1,문,12,Noun
342,1,1,옥수수,12,Noun
343,1,1,만,12,Noun
344,1,1,곰,12,Noun
345,1,1,기린,12,Noun
346,1,1,아주,12,Noun
347,1,1,시작,12,Noun
348,1,1,떡,12,Noun
349,1,1,먼저,12,Noun
350,1,1,도서관,12,Noun
351,1,1,했습니다,12,Verb
352,1,1,했다,12,Verb
353,1,2,재미있는,12,Adjective
354,1,2,음식,12,Noun
355,1,2,듯이,12,Noun
356,1,2,맷돌,12,Noun
357,1,1,들을,11,Verb
358,1,1,어머니,11,Noun
359,1,1,얼굴,11,Noun
360,1,1,좋아하는,11,Adjective
361,1,1,가방,11,Noun
362,1,1,몸,11,Noun
363,1,1,손가락,11,Noun
364,1,1,읽은,11,Verb
365,1,1,야,11,Exclamation
366,1,1,짜임,11,Noun
367,1,1,오른쪽,11,Noun
368,1,1,서로,11,Noun
369,1,1,깜짝,11,Noun
370,1,1,고마워,11,Adjective
371,1,1,만들기,11,Noun
372,1,1,쓰지,11,Verb
373,1,1,꽃,11,Noun
374,1,1,화,11,Noun
375,1,1,있나요,11,Adjective
376,1,1,있어,11,Adjective
377,1,1,대해,11,Noun
378,1,1,나타내는,11,Verb
379,1,1,일어난,11,Verb
380,1,1,년,11,Noun
381,1,1,대한,11,Noun
382,1,1,칭찬,11,Noun
383,1,2,위해,11,Noun
384,1,2,도둑,11,Noun
385,1,2,나면,11,Verb
386,1,2,대머리,11,Noun
387,1,1,표정,10,Noun
388,1,1,도착,10,Noun
389,1,1,채소,10,Noun
390,1,1,하루,10,Noun
391,1,1,오,10,Noun
392,1,1,여,10,Noun
393,1,1,오리,10,Noun
394,1,1,시,10,Noun
395,1,1,초,10,Noun
396,1,1,나누어,10,Verb
397,1,1,끝나는,10,Verb
398,1,1,로,10,Noun
399,1,1,교,10,Noun
400,1,1,가요,10,Noun
401,1,1,나도,10,Verb
402,1,1,난,10,Noun
403,1,1,고맙습니다,10,Adjective
404,1,1,동안,10,Noun
405,1,1,돈,10,Noun
406,1,1,주변,10,Noun
407,1,1,말로,10,Noun
408,1,1,좋겠다,10,Adjective
409,1,1,발,10,Noun
410,1,1,많은,10,Adjective
411,1,1,요일,10,Noun
412,1,1,어제,10,Noun
413,1,1,저녁,10,Noun
414,1,1,남는,10,Verb
415,1,1,날짜,10,Noun
416,1,2,방귀,10,Noun
417,1,2,매우,10,Noun
418,1,2,따옴표,10,Noun
419,1,2,때문,10,Noun
420,1,2,양,10,Noun
421,1,2,예절,10,Noun
422,1,2,숲속,10,Noun
423,1,2,냄새,10,Noun
424,1,2,비둘기,10,Noun
425,1,2,추석,10,Noun
426,1,2,일인,10,Noun
427,1,2,독수리,10,Noun
428,1,1,제,9,Noun
429,1,1,모자,9,Noun
430,1,1,바다,9,Noun
431,1,1,가위,9,Noun
432,1,1,기역,9,Noun
433,1,1,출발,9,Noun
434,1,1,미소,9,Noun
435,1,1,찾기,9,Noun
436,1,1,손뼉,9,Noun
437,1,1,타,9,Noun
438,1,1,빈칸,9,Noun
439,1,1,최,9,Noun
440,1,1,할까,9,Verb
441,1,1,좋아요,9,Adjective
442,1,1,오늘,9,Noun
443,1,1,앗,9,Noun
444,1,1,다람쥐,9,Noun
445,1,1,않았어,9,Verb
446,1,1,가운데,9,Noun
447,1,1,그럼,9,Adjective
448,1,1,울,9,Noun
449,1,1,동생,9,Noun
450,1,1,만든,9,Verb
451,1,1,물음표,9,Noun
452,1,1,주의,9,Noun
453,1,1,바람,9,Noun
454,1,1,은,9,Noun
455,1,1,쓰면,9,Verb
456,1,1,역할,9,Noun
457,1,2,그런,9,Adjective
458,1,2,궁금한,9,Adjective
459,1,2,기울여,9,Verb
460,1,2,좋을까요,9,Adjective
461,1,2,똑같아요,9,Adjective
462,1,2,며칠,9,Noun
463,1,2,높은,9,Adjective
464,1,2,달콤,9,Noun
465,1,2,뾰족,9,Adverb
466,1,2,무슨,9,Noun
467,1,2,장난감,9,Noun
468,1,2,색깔,9,Noun
469,1,2,임금님,9,Noun
470,1,2,송편,9,Noun
471,1,2,버드나무,9,Noun
472,1,1,미,8,Adjective
473,1,1,카,8,Noun
474,1,1,들은,8,Verb
475,1,1,완성,8,Noun
476,1,1,순서,8,Noun
477,1,1,하마,8,Noun
478,1,1,사과,8,Noun
479,1,1,끼,8,Noun
480,1,1,아야,8,Noun
481,1,1,어느,8,Adverb
482,1,1,주,8,Noun
483,1,1,할지,8,Verb
484,1,1,상황,8,Noun
485,1,1,예쁘게,8,Adjective
486,1,1,인형,8,Noun
487,1,1,미안해,8,Adjective
488,1,1,오지,8,Noun
489,1,1,테,8,Noun
490,1,1,솜사탕,8,Noun
491,1,1,읽,8,Verb
492,1,1,나를,8,Verb
493,1,1,풀밭,8,Noun
494,1,1,물고기,8,Noun
495,1,1,위로,8,Noun
496,1,1,지현,8,Noun
497,1,1,산,8,Noun
498,1,1,따서,8,Verb
499,1,1,딸,8,Noun
500,1,1,생일,8,Noun
501,1,1,정,8,Noun
502,1,2,가위바위보,8,Noun
503,1,2,해서,8,Verb
504,1,2,돌잡이,8,Noun
505,1,2,괴물,8,Noun
506,1,2,지구,8,Noun
507,1,2,목,8,Noun
508,1,2,달,8,Noun
509,1,2,즐거운,8,Adjective
510,1,2,까요,8,Verb
511,1,2,큰따옴표,8,Noun
512,1,2,않았어요,8,Verb
513,1,2,받았다,8,Verb
514,1,2,뚜,8,Noun
515,1,2,똑,8,Noun
516,1,2,방긋,8,Noun
517,1,2,숲,8,Noun
518,1,2,열매,8,Noun
519,1,2,소금,8,Noun
520,1,2,수희,8,Noun
521,1,2,먹는,8,Verb
522,1,2,비사,8,Noun
523,1,2,치기,8,Noun
524,1,2,뿌리,8,Noun
525,1,1,구두,7,Noun
526,1,1,생,7,Noun
527,1,1,머,7,Noun
528,1,1,읽었는지,7,Verb
529,1,1,키읔,7,Noun
530,1,1,보여,7,Verb
531,1,1,신발,7,Noun
532,1,1,고구마,7,Noun
533,1,1,우유,7,Noun
534,1,1,수도,7,Noun
535,1,1,코,7,Noun
536,1,1,크기,7,Noun
537,1,1,파,7,Noun
538,1,1,이렇게,7,Adverb
539,1,1,바나나,7,Noun
540,1,1,토,7,Noun
541,1,1,누,7,Noun
542,1,1,외,7,Noun
543,1,1,볼,7,Noun
544,1,1,재료,7,Noun
545,1,1,열,7,Noun
546,1,1,학,7,Noun
547,1,1,내일,7,Noun
548,1,1,먹,7,Verb
549,1,1,않게,7,Verb
550,1,1,화하기,7,Adjective
551,1,1,돼요,7,Verb
552,1,1,놀이터,7,Noun
553,1,1,예,7,Noun
554,1,1,밥,7,Noun
555,1,1,이를,7,Verb
556,1,1,돌멩이,7,Noun
557,1,1,뜻,7,Noun
558,1,1,차례,7,Noun
559,1,1,열심히,7,Adverb
560,1,1,쓰임을,7,Verb
561,1,1,대답,7,Noun
562,1,1,쩍,7,Noun
563,1,1,쉬어,7,Verb
564,1,1,있었어요,7,Adjective
565,1,1,벌,7,Noun
566,1,1,지호,7,Noun
567,1,1,금요일,7,Noun
568,1,2,발가락,7,Noun
569,1,2,잡는,7,Verb
570,1,2,이야기책,7,Noun
571,1,2,끝말잇기,7,Noun
572,1,2,나뭇잎,7,Noun
573,1,2,쏙,7,Noun
574,1,2,만드는,7,Verb
575,1,2,마음속,7,Noun
576,1,2,잎,7,Noun
577,1,2,그것,7,Noun
578,1,2,자세히,7,Adjective
579,1,2,바라보며,7,Verb
580,1,2,주고,7,Verb
581,1,2,됩니다,7,Verb
582,1,2,크고,7,Verb
583,1,2,구두쇠,7,Noun
584,1,2,영감,7,Noun
585,1,2,있을까요,7,Adjective
586,1,2,건너,7,Noun
587,1,2,지진,7,Noun
588,1,2,연날리기,7,Noun
589,1,2,몸짓,7,Noun
590,1,1,반,6,Noun
591,1,1,리을,6,Noun
592,1,1,과일,6,Noun
593,1,1,색,6,Noun
594,1,1,루,6,Noun
595,1,1,주사위,6,Noun
596,1,1,잘못,6,Noun
597,1,1,자로,6,Noun
598,1,1,만나면,6,Verb
599,1,1,어요,6,Noun
600,1,1,잠자리,6,Noun
601,1,1,노랫말,6,Noun
602,1,1,치,6,Noun
603,1,1,머리,6,Noun
604,1,1,치과,6,Noun
605,1,1,싫어,6,Adjective
606,1,1,안녕히,6,Adjective
607,1,1,치료,6,Noun
608,1,1,주셔서,6,Verb
609,1,1,축하,6,Noun
610,1,1,나타낼,6,Verb
611,1,1,웃으며,6,Verb
612,1,1,줘,6,Verb
613,1,1,정확하게,6,Adjective
614,1,1,그래서,6,Adverb
615,1,1,쓰인,6,Verb
616,1,1,구름,6,Noun
617,1,1,먹어,6,Verb
618,1,1,음,6,Noun
619,1,1,솜,6,Noun
620,1,1,탕,6,Noun
621,1,1,얼른,6,Noun
622,1,1,가고,6,Verb
623,1,1,종이,6,Noun
624,1,1,읽으면,6,Verb
625,1,1,계셨군요,6,Adjective
626,1,1,든,6,Verb
627,1,1,맛,6,Noun
628,1,1,있었는지,6,Adjective
629,1,1,했어,6,Verb
630,1,1,찬,6,Noun
631,1,1,정해,6,Noun
632,1,1,발표,6,Noun
633,1,1,중요한,6,Adjective
634,1,1,뽀,6,Noun
635,1,1,송,6,Noun
636,1,2,꼼질,6,Noun
637,1,2,먹고,6,Verb
638,1,2,달리기,6,Noun
639,1,2,이긴,6,Verb
640,1,2,바꾸어,6,Verb
641,1,2,공원,6,Noun
642,1,2,보며,6,Verb
643,1,2,그다음,6,Noun
644,1,2,렁,6,Noun
645,1,2,긋,6,Verb
646,1,2,쨍,6,Noun
647,1,2,살았어요,6,Verb
648,1,2,밑,6,Noun
649,1,2,물어볼,6,Verb
650,1,2,아팠다,6,Adjective
651,1,2,받았지,6,Verb
652,1,2,밖,6,Noun
653,1,2,송아지,6,Noun
654,1,2,옛날,6,Noun
655,1,2,되었어요,6,Verb
656,1,2,입고,6,Verb
657,1,2,본,6,Verb
658,1,2,빠르기,6,Noun
659,1,2,올려,6,Verb
660,1,2,숨겨,6,Verb
661,1,2,아니요,6,Adjective
662,1,2,사는,6,Verb
663,1,2,서방,6,Noun
664,1,2,크게,6,Noun
665,1,2,지우,6,Noun
666,1,2,롱,6,Noun
667,1,2,훌,6,Noun
668,1,2,갔어요,6,Verb
669,1,2,재미있었다,6,Adjective
670,1,2,이용,6,Noun
671,1,2,벌레,6,Noun
672,1,2,잡,6,Noun
673,1,2,딱,6,Adverb
674,1,2,거짓말,6,Noun
675,1,2,준호,6,Noun
676,1,2,재미있었는지,6,Adjective
677,1,2,썰매,6,Noun
678,1,2,숭어,6,Noun
679,1,2,운전자,6,Noun
680,1,2,안전하게,6,Adjective
681,1,2,횡단보도,6,Noun
682,1,1,나누기,5,Noun
683,1,1,익히기,5,Verb
684,1,1,그려,5,Verb
685,1,1,동네,5,Noun
686,1,1,앉아,5,Verb
687,1,1,치읓,5,Noun
688,1,1,티읕,5,Noun
689,1,1,들어간,5,Verb
690,1,1,코끼리,5,Noun
691,1,1,채,5,Noun
692,1,1,자리,5,Noun
693,1,1,부리,5,Noun
694,1,1,통,5,Noun
695,1,1,탈,5,Noun
696,1,1,자의,5,Noun
697,1,1,작사,5,Noun
698,1,1,작곡,5,Noun
699,1,1,웃는,5,Verb
700,1,1,순서대로,5,Noun
701,1,1,아래쪽,5,Noun
702,1,1,드,5,Noun
703,1,1,빨간색,5,Noun
704,1,1,혼자,5,Noun
705,1,1,아파서,5,Adjective
706,1,1,할아버지,5,Noun
707,1,1,영수,5,Noun
708,1,1,얘,5,Noun
709,1,1,전,5,Noun
710,1,1,어른,5,Noun
711,1,1,맛있는,5,Adjective
712,1,1,더욱,5,Noun
713,1,1,고마운,5,Adjective
714,1,1,안쪽,5,Noun
715,1,1,만든다,5,Verb
716,1,1,대하,5,Noun
717,1,1,놀자,5,Verb
718,1,1,만난,5,Noun
719,1,1,흥,5,Noun
720,1,1,줄넘기,5,Noun
721,1,1,건,5,Noun
722,1,1,붙이,5,Noun
723,1,1,잠,5,Noun
724,1,1,예쁜,5,Adjective
725,1,1,폴짝,5,Noun
726,1,1,간판,5,Noun
727,1,1,들,5,Verb
728,1,1,실,5,Noun
729,1,1,구해,5,Noun
730,1,1,떼,5,Noun
731,1,1,아껴,5,Verb
732,1,1,했구나,5,Verb
733,1,1,이해,5,Noun
734,1,1,이어서,5,Adverb
735,1,1,좋아,5,Adjective
736,1,1,볼까,5,Verb
737,1,1,하자,5,Noun
738,1,1,하면서,5,Verb
739,1,1,빠르게,5,Adjective
740,1,1,침,5,Noun
741,1,1,씨,5,Noun
742,1,1,알아보기,5,Verb
743,1,1,편,5,Noun
744,1,1,했,5,Verb
745,1,1,먹었어,5,Verb
746,1,1,굴,5,Noun
747,1,1,았,5,Noun
748,1,1,들어가야,5,Verb
749,1,1,새끼,5,Noun
750,1,1,보니,5,Verb
751,1,2,여러분,5,Noun
752,1,2,주인공,5,Noun
753,1,2,천,5,Noun
754,1,2,쓰레기,5,Noun
755,1,2,털,5,Noun
756,1,2,햇볕,5,Noun
757,1,2,살금살금,5,Noun
758,1,2,갔습니다,5,Verb
759,1,2,단원,5,Noun
760,1,2,뭐라고,5,Verb
761,1,2,모여,5,Verb
762,1,2,가서,5,Verb
763,1,2,박물관,5,Noun
764,1,2,하려면,5,Verb
765,1,2,듣기,5,Noun
766,1,2,들어야,5,Verb
767,1,2,들어요,5,Verb
768,1,2,셋,5,Noun
769,1,2,그러고는,5,Adjective
770,1,2,막내딸,5,Noun
771,1,2,과자,5,Noun
772,1,2,매일,5,Noun
773,1,2,리기,5,Noun
774,1,2,있으면,5,Adjective
775,1,2,둥지,5,Noun
776,1,2,지금,5,Noun
777,1,2,내며,5,Verb
778,1,2,쫓아와요,5,Verb
779,1,2,몽몽,5,Noun
780,1,2,이래,5,Adjective
781,1,2,세현,5,Noun
782,1,2,않고,5,Verb
783,1,2,토요일,5,Noun
784,1,2,먹이,5,Noun
785,1,2,구멍,5,Noun
786,1,2,람,5,Noun
787,1,2,외쳤어요,5,Verb
788,1,2,다솜,5,Noun
789,1,2,놀았어,5,Verb
790,1,2,별,5,Noun
791,1,2,재봉사,5,Noun
792,1,2,싶어요,5,Verb
793,1,1,바른지,4,Verb
794,1,1,글씨,4,Noun
795,1,1,떠오르는,4,Verb
796,1,1,버,4,Noun
797,1,1,기차,4,Noun
798,1,1,시옷,4,Noun
799,1,1,피읖,4,Noun
800,1,1,디귿,4,Noun
801,1,1,비읍,4,Noun
802,1,1,지읒,4,Noun
803,1,1,니은,4,Noun
804,1,1,미음,4,Noun
805,1,1,이응,4,Noun
806,1,1,히읗,4,Noun
807,1,1,주신,4,Noun
808,1,1,칠해,4,Adjective
809,1,1,의자,4,Noun
810,1,1,이사,4,Noun
811,1,1,식탁,4,Noun
812,1,1,조,4,Noun
813,1,1,가게,4,Noun
814,1,1,유,4,Noun
815,1,1,개수,4,Noun
816,1,1,모음자는,4,Verb
817,1,1,병아리,4,Noun
818,1,1,호,4,Noun
819,1,1,료,4,Noun
820,1,1,휴,4,Exclamation
821,1,1,스,4,Noun
822,1,1,디,4,Noun
823,1,1,피,4,Noun
824,1,1,밤길,4,Noun
825,1,1,고마워요,4,Adjective
826,1,1,올,4,Verb
827,1,1,처럼,4,Noun
828,1,1,맞는,4,Verb
829,1,1,냠냠,4,Adverb
830,1,1,먹기,4,Noun
831,1,1,먹겠습니다,4,Verb
832,1,1,솔이,4,Noun
833,1,1,맛있게,4,Adjective
834,1,1,상,4,Noun
835,1,1,장,4,Noun
836,1,1,만났을,4,Verb
837,1,1,명,4,Noun
838,1,1,어울리게,4,Verb
839,1,1,아프지,4,Adjective
840,1,1,아픈,4,Adjective
841,1,1,앉았습니다,4,Verb
842,1,1,겠,4,Verb
843,1,1,엉엉,4,Noun
844,1,1,어흥,4,Adverb
845,1,1,우아,4,Exclamation
846,1,1,준비물,4,Noun
847,1,1,줄까,4,Verb
848,1,1,왔어요,4,Verb
849,1,1,살펴보며,4,Verb
850,1,1,뽑힌,4,Verb
851,1,1,천천히,4,Adverb
852,1,1,동동,4,Noun
853,1,1,풍덩,4,Adverb
854,1,1,당근,4,Noun
855,1,1,양말,4,Noun
856,1,1,오징어,4,Noun
857,1,1,깡,4,Noun
858,1,1,충,4,Noun
859,1,1,폴,4,Noun
860,1,1,쉬,4,Noun
861,1,1,고쳐,4,Verb
862,1,1,신,4,Noun
863,1,1,수현,4,Noun
864,1,1,반가워,4,Adjective
865,1,1,콩쥐,4,Noun
866,1,1,악어,4,Noun
867,1,1,칩니다,4,Verb
868,1,1,기르기,4,Verb
869,1,1,놀라면,4,Verb
870,1,1,또박또박,4,Noun
871,1,1,사진,4,Noun
872,1,1,만들,4,Verb
873,1,1,가자,4,Verb
874,1,1,꾀,4,Noun
875,1,1,쉼표,4,Noun
876,1,1,마침표,4,Noun
877,1,1,온,4,Noun
878,1,1,쌍기역,4,Noun
879,1,1,민지,4,Noun
880,1,1,예쁘다,4,Adjective
881,1,1,싶어,4,Verb
882,1,1,크레파스,4,Noun
883,1,1,이의,4,Noun
884,1,1,한번,4,Noun
885,1,1,헉,4,Adverb
886,1,1,올라가,4,Verb
887,1,1,벌집,4,Noun
888,1,1,웁니,4,Noun
889,1,1,친,4,Noun
890,1,1,닭,4,Noun
891,1,1,빨,4,Noun
892,1,1,잔치,4,Noun
893,1,1,썼나요,4,Verb
894,1,1,지윤,4,Noun
